01.01.01.01 Gold
01.01.01.02 Silver
01.01.01.03 Copper
01.01.01.04 Lead
01.01.01.05 Aluminum
01.01.02.01 Auricupride
01.01.02.02 Tetra-auricupride
01.01.02.03 Yuanjiangite
01.01.03.01 Maldonite
01.01.04.01 Anyuiite
01.01.04.02 Hunchunite
01.01.04.03 Novodneprite
01.01.05.01 Zinc
01.01.05.02 Cadmium
01.01.06.00 Brass
01.01.06.01 Danbaite
01.01.06.02 Zhanghengite
01.01.07.01 Mercury
01.01.08.00 Amalgam
01.01.08.01 Moschellandsbergite
01.01.08.02 Schachnerite
01.01.08.03 Paraschachnerite
01.01.08.04 Luanheite
01.01.08.05 Eugenite
01.01.08.06 Weishanite
01.01.09.01 Kolymite
01.01.09.02 Belendorffite
01.01.10.01 Leadamalgam
01.01.11.00 Iron
01.01.11.01 Kamacite
01.01.11.02 Taenite
01.01.11.03 Tetrataenite
01.01.11.04 Awaruite
01.01.11.05 Nickel
01.01.11.06 Wairauite
01.01.12.01 Chromium
01.01.12.02 Chromferide
01.01.12.03 Ferchromide
01.01.13.01 Tin
01.01.14.01 Indium
01.01.15.01 Cupalite
01.01.15.02 Khatyrkite
01.01.16.01 Cohenite
01.01.16.02 Haxonite
01.01.16.03 Isovite
01.01.17.01 Tongbaite
01.01.17.02 Florenskyite
01.01.17.03 Andreyivanovite
01.01.18.01 Siderazot
01.01.18.02 Roaldite
01.01.19.01 Osbornite
01.01.19.02 Khamrabaevite
01.01.19.03 Niobocarbide
01.01.19.04 Tantalcarbide
01.01.20.01 Carlsbergite
01.01.21.01 Barringerite
01.01.21.02 Schreibersite
01.01.21.03 Nickelphosphide
01.01.21.04 Allabogdanite
01.01.21.05 Melliniite
01.01.21.06 Monipite
01.01.22.01 Perryite
01.01.23.01 Suessite
01.01.23.02 Gupeiite
01.01.23.03 Xifengite
01.01.23.04 Hapkeite
01.01.23.05 Luobusaite
01.01.23.06 Mavlyanovite
01.01.23.07 Brownleeite
01.01.24.01 Jedwabite
01.01.25.01 Qusongite
01.01.26.01 Yarlongite
01.02.01.01 Platinum
01.02.01.02 Iridium
01.02.01.03 Rhodium
01.02.01.04 Palladium
01.02.02.01 Osmium
01.02.02.02 Ruthenium
01.02.02.03 Rutheniridosmine
01.02.02.04 Hexaferrum
01.02.02.05 Hexamolybdenum
01.02.02.06 IMA2008-055
01.02.03.01 Hongshiite
01.02.04.01 Tetraferroplatinum
01.02.04.02 Tulameenite
01.02.04.03 Ferronickelplatinum
01.02.04.04 Potarite
01.02.05.01 Isoferroplatinum
01.02.05.02 Rustenburgite
01.02.05.03 Atokite
01.02.05.04 Zvyagintsevite
01.02.05.05 Chengdeite
01.02.05.06 Yixunite
01.02.06.01 Paolovite
01.02.07.01 Taimyrite
01.02.07.02 Tatyanaite
01.02.08.01 Cabriite
01.02.09.01 Stannopalladinite
01.02.10.01 Niggliite
01.02.11.01 Plumbopalladinite
01.02.12.01 Damiaoite
01.02.13.01 Skaergaardite
01.02.14.01 Nielsenite
01.02.14.02 Bortnikovite
01.03.01.01 Arsenic
01.03.01.02 Antimony
01.03.01.03 Stibarsen
01.03.01.04 Bismuth
01.03.01.05 Stistaite
01.03.02.01 Arsenolamprite
01.03.02.02 Pararsenolamprite
01.03.03.01 Paradocrasite
01.03.04.01 Selenium
01.03.04.02 Tellurium
01.03.05.01 Sulfur
01.03.05.01 Sulphur
01.03.05.02 Rosickyite
01.03.06.01 Diamond
01.03.06.02 Graphite
01.03.06.03 Lonsdaleite
01.03.06.04 Chaoite
01.03.06.05 Fullerite
01.03.07.01 Silicon
01.03.08.01 Moissanite
01.03.09.01 Sinoite
01.03.10.01 Nierite
02.00.00.00 Kurilite
02.01.01.01 Algodonite
02.01.02.01 Horsfordite
02.01.03.01 Telargpalite
02.01.04.01 Duranusite
02.01.05.01 Bezsmertnovite
02.01.06.01 Bilibinskite
02.02.01.01 Dyscrasite
02.02.01.02 Allargentum
02.02.02.01 Domeykite
02.02.02.02 Kutinaite
02.02.02.03 Dienerite
02.02.03.01 Bogdanovite
02.02.04.01 Atheneite
02.02.05.01 Vincentite
02.02.06.01 Keithconnite
02.03.01.01 Koutekite
02.03.02.01 Orcelite
02.03.03.01 Stibiopalladinite
02.03.03.02 Palarstanide
02.03.04.01 Parkerite
02.03.05.01 Shandite
02.03.05.02 Rhodplumsite
02.03.05.03 Pasavaite
02.03.06.01 Vozhminite
02.03.07.01 Laflammeite
02.04.01.01 Acanthite
02.04.01.02 Naumannite
02.04.01.03 Aguilarite
02.04.02.01 Hessite
02.04.02.02 Cervelleite
02.04.03.01 Uytenbogaardtite
02.04.03.02 Fischesserite
02.04.03.03 Petzite
02.04.04.01 Jalpaite
02.04.04.02 Selenojalpaite
02.04.05.01 Mckinstryite
02.04.06.01 Stromeyerite
02.04.06.02 Eucairite
02.04.07.01 Chalcocite
02.04.07.02 Djurleite
02.04.07.03 Digenite
02.04.07.04 Roxbyite
02.04.07.05 Anilite
02.04.07.06 Geerite
02.04.07.07 Spionkopite
02.04.08.01 Weissite
02.04.09.01 Bellidoite
02.04.10.01 Berzelianite
02.04.11.01 Cuprostibite
02.04.12.01 Crookesite
02.04.12.02 Sabatierite
02.04.13.01 Carlinite
02.04.14.01 Palladoarsenide
02.04.15.01 Palladobismutharsenide
02.04.16.01 Majakite
02.04.16.02 Menshikovite
02.04.17.01 Petrovskaite
02.04.18.01 Novakite
02.04.19.01 Rhodarsenide
02.04.19.02 Palladodymite
02.04.20.01 Polkanovite
02.04.21.01 Suredaite
02.04.22.01 Naldretteite
02.05.01.01 Umangite
02.05.02.01 Bornite
02.05.03.01 Heazlewoodite
02.05.04.01 Oregonite
02.05.05.01 Thalcusite
02.05.05.02 Bukovite
02.05.05.03 Murunskite
02.05.06.01 Argyrodite
02.05.06.02 Canfieldite
02.05.07.01 Daomanite
02.05.08.01 Imiterite
02.05.08.02 Brodtkorbite
02.05.09.01 Chvilevaite
02.05.10.01 Putzite
02.05.10.02 Calvertite
02.05.11.01 Jonassonite
02.06.01.01 Dimorphite
02.06.02.01 Joseite
